Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
3000000,0.52644473,2.0512495,0.5390666,0.047228735,0.00021153744,0.17051247,0.003528572,300.1736526946108,4.118791854154028,4.118791854154028,1.0
3100000,0.5637119,2.5930824,0.5465358,0.044647135,0.00020849163,0.16949719,0.0034779103,276.4175824175824,4.842849053319666,4.842849053319666,1.0
3200000,0.58381486,2.1620407,28.154755,0.04742083,0.00020548975,0.16849655,0.0034279786,267.6016260162602,5.4513499747313885,5.4513499747313885,1.0
3300000,0.6316423,2.9270866,0.47549137,0.046467967,0.00020251077,0.16750358,0.003378428,260.21522309711287,5.47011421843193,5.47011421843193,1.0
3400000,0.59556496,3.0555341,0.5233766,0.04723471,0.00019951675,0.16650556,0.0033286272,257.2525510204082,5.493710427183886,5.493710427183886,1.0
3500000,0.5447311,2.7122688,0.43840963,0.046250932,0.00019651216,0.16550405,0.0032786513,264.8509485094851,5.50181856475831,5.50181856475831,1.0
3600000,0.58933514,2.9896297,0.34649456,0.048686016,0.00019349682,0.16449893,0.003228496,251.97481108312343,5.871562554632699,5.871562554632699,1.0
3700000,0.52428854,3.1854825,0.28980848,0.048416547,0.00019049547,0.16349848,0.0031785732,236.4504716981132,6.312125777210689,6.312125777210689,1.0
3800000,0.5209304,3.3312025,0.38874772,0.04653903,0.00018751649,0.1625055,0.0031290238,240.60340632603408,6.243006026209558,6.243006026209558,1.0
3900000,0.4624578,3.3477774,0.30973542,0.04828654,0.00018450737,0.16150244,0.0030789718,231.49302325581397,6.249134637034216,6.249134637034216,1.0
4000000,0.43013397,3.387072,0.55553025,0.048995443,0.0001814949,0.16049828,0.0030288643,231.68372093023257,6.08084424176972,6.08084424176972,1.0
4100000,0.37772536,3.0949497,0.23101485,0.04710935,0.00017850139,0.15950043,0.002979072,245.47665847665849,6.004604924149829,6.004604924149829,1.0
4200000,0.44408154,2.9651294,0.3560342,0.047188543,0.00017548844,0.15849613,0.0029289569,271.18108108108106,4.926152173801253,4.926152173801253,1.0
4300000,0.41220576,3.080023,0.390821,0.045252033,0.00017252355,0.15750784,0.0028796408,251.39847715736042,5.944083887686584,5.944083887686584,1.0
4400000,0.46330258,3.3443303,0.70470124,0.046260342,0.00016952121,0.15650705,0.0028297016,264.11466666666666,5.066975016405185,5.066975016405185,1.0
