Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
100000,1.6269164,716.6571428571428,-1.4435261,-17.64841114443082,-17.64841114443082,0.84238404,0.07010933,0.00029985057,0.29990038,0.004997514,1.0
200000,1.4589107,610.574074074074,-1.618709,-13.147772059710913,-13.147772059710913,0.9581961,0.070972316,0.0002995525,0.29970172,0.004992557,1.0
300000,1.15446,574.4723926380368,-1.447716,-10.80829114544611,-10.80829114544611,0.94968563,0.069097064,0.00029925312,0.2995021,0.004987577,1.0
400000,1.0172025,542.8444444444444,-1.271061,-9.77199513249927,-9.77199513249927,0.8465701,0.070283875,0.00029895094,0.29930064,0.00498255,1.0
500000,1.1694831,604.9887005649717,-1.2292861,-11.660545096053916,-11.660545096053916,0.7133045,0.06824683,0.00029865155,0.29910102,0.0049775694,1.0
600000,1.2792175,526.4,-0.87289846,-8.151034838927758,-8.151034838927758,0.86726266,0.07012126,0.00029835018,0.29890013,0.004972558,1.0
700000,1.4248545,532.022346368715,-0.95434195,-8.496024959580192,-8.496024959580192,0.7197355,0.06987262,0.00029804997,0.2987,0.004967564,1.0
800000,1.4140674,539.005076142132,-1.1438457,-8.794677462069517,-8.794677462069517,0.799028,0.070635445,0.0002977474,0.29849827,0.0049625314,1.0
900000,1.2244534,474.0574162679426,-0.29505795,-4.752386546591252,-4.752386546591252,0.71053994,0.06819391,0.00029744892,0.29829928,0.0049575665,1.0
1000000,0.93458116,381.43461538461537,0.80317545,0.044593120423647076,0.044593120423647076,0.61771315,0.071070686,0.0002971461,0.2980974,0.00495253,1.0
1100000,0.7751354,334.3135313531353,1.3885221,1.7920689133330934,1.7920689133330934,0.6647269,0.07085751,0.00029684856,0.29789904,0.0049475804,1.0
1200000,0.63370377,331.66101694915255,1.9678278,2.004146488440239,2.004146488440239,0.79075116,0.06907589,0.0002965507,0.29770046,0.0049426267,1.0
1300000,0.65465385,327.21656050955414,1.3786194,2.1975186767092176,2.1975186767092176,0.6380501,0.06877851,0.000296252,0.29750136,0.004937658,1.0
1400000,0.569385,334.6734006734007,1.7413772,1.5646067603870675,1.5646067603870675,0.8031386,0.07335334,0.00029594952,0.29729968,0.004932626,1.0
1500000,0.38564298,259.60483870967744,2.547141,4.92347997114543,4.92347997114543,0.5071509,0.072131105,0.00029564934,0.29709956,0.004927634,1.0
1600000,0.34157673,259.35356200527707,2.7831364,4.894577508158294,4.894577508158294,0.55389816,0.07008972,0.0002953502,0.29690018,0.004922658,1.0
1700000,0.15925889,390.78682170542635,0.52792895,-2.1479708431072013,-2.1479708431072013,0.7508865,0.070295215,0.00029505018,0.29670012,0.0049176677,1.0
1800000,0.4600361,255.36907730673317,2.4632313,4.816242383453911,4.816242383453911,0.55874735,0.07223009,0.0002947497,0.29649985,0.0049126702,1.0
1900000,0.55008465,330.32996632996634,1.4308405,1.4863317659005573,1.4863317659005573,0.6433015,0.068794325,0.00029445012,0.2963001,0.0049076867,1.0
2000000,0.6341258,359.0494699646643,0.78826946,0.29376901781305353,0.29376901781305353,0.5270965,0.06855805,0.00029414913,0.29609942,0.00490268,1.0
2100000,0.5616116,317.9744408945687,1.5073256,2.0843350097631954,2.0843350097631954,0.5552357,0.07037149,0.00029384875,0.29589918,0.004897684,1.0
2200000,0.36627334,364.6373626373626,0.79860955,-0.029968741612556655,-0.029968741612556655,0.7509409,0.069907784,0.00029354444,0.29569626,0.004892622,1.0
2300000,0.47506538,296.54354354354354,1.3748585,2.6639655222584895,2.6639655222584895,0.58400834,0.06862311,0.00029325177,0.2955012,0.0048877546,1.0
2400000,0.7890429,346.66211604095565,1.0348481,0.5033863638448227,0.5033863638448227,0.5605957,0.07144696,0.00029295328,0.29530218,0.0048827888,1.0
2500000,0.7944779,312.8774193548387,1.2612674,2.2255566041315755,2.2255566041315755,0.47543335,0.07032495,0.00029265138,0.29510096,0.004877768,1.0
2600000,0.7947093,296.94812680115274,1.7007833,2.6669423216981025,2.6669423216981025,0.57033014,0.07053851,0.00029235112,0.29490075,0.0048727724,1.0
2700000,0.6717843,261.98930481283423,2.100809,4.311958187156254,4.311958187156254,0.50076157,0.069463916,0.00029205234,0.29470158,0.0048678033,1.0
2800000,0.5986827,243.23058252427185,2.7181857,5.237081600946811,5.237081600946811,0.47413763,0.06967804,0.00029175152,0.29450104,0.0048628002,1.0
2900000,0.54985386,186.58504672897197,4.1284995,7.742009779521778,7.742009779521778,0.23613122,0.069723025,0.00029144567,0.29429713,0.004857713,1.0
3000000,0.4744321,179.72677595628414,4.427477,8.063244352810575,8.063244352810575,0.3013688,0.06740907,0.00029115102,0.2941007,0.0048528113,1.0
3100000,0.42478517,181.55797101449275,4.6172585,8.298082549394906,8.298082549394906,0.17288116,0.07216566,0.00029085166,0.29390112,0.0048478325,1.0
3200000,0.40155795,162.03758169934642,4.9191065,8.739157258928602,8.739157258928602,0.12152033,0.06969542,0.00029055067,0.29370043,0.004842826,1.0
3300000,0.3963336,169.53092783505156,4.7723656,8.258801428776867,8.258801428776867,0.24088395,0.06955341,0.00029024764,0.29349843,0.004837785,1.0
3400000,0.29391935,273.9837398373984,2.1817389,3.1072263539968143,3.1072263539968143,0.54314035,0.069918886,0.00028995212,0.2933014,0.0048328694,1.0
3500000,0.39884743,276.5042735042735,1.6637931,3.356922702741759,3.356922702741759,0.4638142,0.070591964,0.00028965014,0.29310012,0.0048278472,1.0
3600000,0.42199898,264.18469656992085,1.8432751,3.743391900704215,3.743391900704215,0.39103505,0.06974459,0.00028935165,0.29290116,0.0048228824,1.0
3700000,0.5861916,234.2953488372093,2.71468,5.385702106780384,5.385702106780384,0.49947882,0.071342304,0.0002890488,0.29269922,0.0048178453,1.0
3800000,0.4613984,187.47368421052633,3.7228827,7.475995404523488,7.475995404523488,0.23872603,0.070178755,0.00028874745,0.29249835,0.004812833,1.0
3900000,0.4936166,198.23904382470118,3.2666776,6.519829762231306,6.519829762231306,0.3071593,0.07092064,0.00028844614,0.29229742,0.0048078205,1.0
4000000,0.5166734,180.35208711433756,3.7781634,7.400125007393572,7.400125007393572,0.22107121,0.0685659,0.00028814626,0.2920975,0.0048028324,1.0
4100000,0.43577048,185.3551401869159,4.13181,7.629817864883726,7.629817864883726,0.26841974,0.06674216,0.00028785228,0.29190156,0.004797943,1.0
4200000,0.33425242,156.6326530612245,4.910724,8.743403240010656,8.743403240010656,0.097763404,0.06930653,0.0002875514,0.29170096,0.0047929385,1.0
4300000,0.3258049,145.29618768328444,5.2531857,8.968725675842629,8.968725675842629,0.07320936,0.06825026,0.00028724942,0.2914996,0.0047879145,1.0
4400000,0.37209028,148.66365007541478,5.053122,8.914124536478322,8.914124536478322,0.07758871,0.06896761,0.000286954,0.29130268,0.0047830017,1.0
4500000,0.38654056,164.2801302931596,4.8767877,8.513988409987476,8.513988409987476,0.16213699,0.06998035,0.00028664563,0.2910971,0.0047778715,1.0
4600000,0.33435637,145.27672035139094,5.206763,9.027939432545713,9.027939432545713,0.067281425,0.06980361,0.000286349,0.29089937,0.004772939,1.0
