Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
3600000,0.3733921,7.1201315,75.84857801691007,8.270393851442945,8.270393851442945,0.21140671,0.07068515,8.702283e-05,0.12900758,0.0014574783,1.0
3700000,0.35238618,7.1233053,75.78687258687259,8.312351136248115,8.312351136248115,0.19870584,0.069484435,8.099912e-05,0.12699968,0.0013572839,1.0
3800000,0.3370645,7.2461905,73.52077151335311,8.39870413583327,8.39870413583327,0.18303156,0.06950348,7.502347e-05,0.1250078,0.0012578887,1.0
3900000,0.3461522,7.236705,73.52698650674662,8.337208836130513,8.337208836130513,0.31902975,0.06926142,6.9041394e-05,0.12301377,0.001158387,1.0
4000000,0.35087484,7.3253245,72.41215226939971,8.403876031569222,8.403876031569222,0.30724645,0.07026461,6.305613e-05,0.121018685,0.001058832,1.0
4100000,0.32509762,7.2506514,71.83272727272727,8.349302886353733,8.349302886353733,0.39849836,0.066576555,5.6983623e-05,0.11899451,0.0009578261,1.0
4200000,0.3151745,7.269027,72.12090313182811,8.402262488465542,8.402262488465542,0.21298376,0.068140045,5.098707e-05,0.116995655,0.0008580834,1.0
4300000,0.29799998,7.2538595,72.36578171091445,8.410914833262815,8.410914833262815,0.1989607,0.06735047,4.499842e-05,0.11499945,0.0007584722,1.0
4400000,0.30331945,7.352046,71.16798277099785,8.47571842163222,8.47571842163222,0.19427104,0.06811764,3.898969e-05,0.11299653,0.00065852696,1.0
4500000,0.30225018,7.4141374,69.82377919320595,8.54637216514861,8.54637216514861,0.18820158,0.06783127,3.295178e-05,0.11098389,0.00055809645,1.0
4600000,0.31003278,7.370297,70.47636103151862,8.531503126332769,8.531503126332769,0.14017293,0.06819777,2.6949994e-05,0.10898331,0.00045826667,1.0
4700000,0.3052747,7.397711,69.7017667844523,8.577790003488426,8.577790003488426,0.121477626,0.06937579,2.1046108e-05,0.10701534,0.0003600653,1.0
4800000,0.30760065,7.358845,70.57985611510792,8.501439478671807,8.501439478671807,0.13127229,0.06838996,1.4950375e-05,0.104983434,0.00025867292,1.0
4900000,0.29642808,7.416121,69.77227722772277,8.559312616430828,8.559312616430828,0.19050325,0.06966252,9.074755e-06,0.10302489,0.00016094181,1.0
5000000,0.29222697,7.4030843,69.75230007077141,8.596211170357167,8.596211170357167,0.122698836,0.069020815,3.0319045e-06,0.10101061,6.042903e-05,1.0
