Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
3600000,0.29556784,7.6143713,0.19064577,0.068874374,8.7022e-05,0.12900731,0.0014574645,65.2128222075347,8.677476432019326,8.677476432019326,1.0
3700000,0.2833185,7.6872296,0.190023,0.0693827,8.0968515e-05,0.1269895,0.0013567748,65.08031599736668,8.716097148756186,8.716097148756186,1.0
3800000,0.29232484,7.664753,0.11726399,0.067419626,7.501933e-05,0.12500641,0.0012578198,65.42028018679119,8.740883680493392,8.740883680493392,1.0
3900000,0.2895328,7.696491,0.18665245,0.06905731,6.896447e-05,0.122988135,0.0011571074,64.05211726384364,8.768936339654077,8.768936339654077,1.0
4000000,0.28266102,7.7153196,0.0725687,0.068148084,6.303002e-05,0.121009976,0.0010583977,64.87771203155819,8.782149824257598,8.782149824257598,1.0
4100000,0.29559582,7.704919,0.07859798,0.067382224,5.702543e-05,0.11900844,0.00095852156,64.297580117724,8.801221373626477,8.801221373626477,1.0
4200000,0.29937744,7.683048,0.19450226,0.06723871,5.0951094e-05,0.116983674,0.000857485,64.02401038286827,8.766380447322883,8.766380447322883,1.0
4300000,0.28897032,7.7134724,0.13776734,0.066599354,4.4999255e-05,0.11499973,0.00075848616,63.41925064599483,8.80387787479413,8.80387787479413,1.0
4400000,0.27731934,7.7696996,0.136884,0.06770908,3.9021164e-05,0.11300703,0.00065905054,63.13473818646232,8.800760404415884,8.800760404415884,1.0
4500000,0.2700734,7.7537513,0.09636786,0.06760716,3.2962093e-05,0.110987335,0.00055826793,62.51781170483461,8.860160499659507,8.860160499659507,1.0
4600000,0.26516604,7.7610846,0.11837739,0.06729512,2.7015358e-05,0.10900509,0.0004593539,62.149178255372945,8.88939304904148,8.88939304904148,1.0
4700000,0.26645118,7.7737656,0.16741914,0.066778585,2.1002634e-05,0.10700085,0.00035934217,62.18434343434343,8.82176754536274,8.82176754536274,1.0
4800000,0.26202378,7.815638,0.065100774,0.06663402,1.5029412e-05,0.10500978,0.00025998757,60.846679081315955,8.948729244505374,8.948729244505374,1.0
4900000,0.25939232,7.784024,0.14078794,0.07050886,8.979225e-06,0.102993034,0.00015935281,61.57008760951189,8.893480136261381,8.893480136261381,1.0
5000000,0.24646102,7.801723,0.11536529,0.06777285,3.0215433e-06,0.10100714,6.0256676e-05,61.54483188044832,8.883471284244578,8.883471284244578,1.0
