Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
100000,0.71869105,327.77852348993287,-8.603437,-9.457710952979307,-9.457710952979307,3.7975183,0.09781868,0.00029695523,0.29797018,0.0049493546,1.0
200000,0.4781697,331.1766666666667,-2.3958967,-9.497436391922335,-9.497436391922335,1.5960456,0.100049,0.00029100914,0.2940061,0.0048504514,1.0
300000,0.7042441,315.3312302839117,-2.0833576,-7.826222124747486,-7.826222124747486,1.6606476,0.09793289,0.00028502318,0.29001543,0.004750885,1.0
400000,0.9137628,307.1107692307692,-2.083578,-7.65301048412919,-7.65301048412919,1.641342,0.0974417,0.00027901103,0.28600734,0.0046508834,1.0
500000,0.9313453,305.2746913580247,-2.1989148,-7.43366638990694,-7.43366638990694,1.8059698,0.096434504,0.00027301765,0.28201178,0.0045511927,1.0
600000,0.72909075,301.99397590361446,-2.4486825,-7.5210584739829045,-7.5210584739829045,1.8072768,0.09620661,0.0002670114,0.2780076,0.0044512893,1.0
700000,0.9358975,324.96416938110747,-2.1426833,-7.388926355647536,-7.388926355647536,1.4289148,0.098545834,0.0002609949,0.27399656,0.0043512145,1.0
800000,0.6807369,315.93650793650795,-2.24751,-6.952885448140284,-6.952885448140284,1.6003478,0.09865635,0.0002550009,0.27000058,0.0042515146,1.0
900000,1.0793692,317.4504792332268,-2.2332115,-6.8710954625861715,-6.8710954625861715,1.5216894,0.09784873,0.00024901942,0.26601297,0.004152023,1.0
1000000,0.9610049,299.54896142433233,-1.7630498,-3.5119431558885568,-3.5119431558885568,1.6009239,0.09982398,0.00024299305,0.26199538,0.0040517836,1.0
1100000,0.875623,292.60714285714283,-1.6323291,-3.1726644204747076,-3.1726644204747076,1.4119725,0.09989806,0.00023697467,0.2579831,0.0039516776,1.0
1200000,0.8878792,273.89502762430936,-1.5843316,-1.8512055545695414,-1.8512055545695414,1.4975276,0.09723024,0.00023098706,0.25399137,0.0038520845,1.0
1300000,0.9940292,281.1887323943662,-1.4641755,-2.5076911947571894,-2.5076911947571894,1.4177979,0.09810708,0.0002250238,0.2500158,0.003752894,1.0
1400000,0.9469065,258.9280205655527,-1.712697,-2.9925395922117644,-2.9925395922117644,1.9238794,0.0988515,0.00021900512,0.2460034,0.0036527838,1.0
1500000,0.90802526,237.39328537170263,-1.2372452,-0.72459688853267,-0.72459688853267,1.8584757,0.09812296,0.00021299277,0.2419952,0.0035527796,1.0
1600000,0.95925444,179.61220825852783,-0.016145388,2.5815154335777573,2.5815154335777573,2.0025628,0.09931749,0.0002069973,0.2379982,0.003453055,1.0
1700000,1.0290995,155.28504672897196,1.0422475,4.087600799907992,4.087600799907992,1.9877535,0.09674912,0.00020100876,0.23400582,0.0033534444,1.0
1800000,0.87997615,122.16769420468557,2.9795365,6.4246971923490905,6.4246971923490905,1.3799933,0.0977122,0.00019500946,0.23000629,0.0032536562,1.0
1900000,0.76268464,103.47280334728033,3.9826775,7.144820718632458,7.144820718632458,1.6582022,0.09769334,0.00018900938,0.22600624,0.0031538552,1.0
2000000,0.64340985,95.5125,4.6443563,7.476115832951611,7.476115832951611,1.9493814,0.09798435,0.00018299354,0.22199567,0.0030537918,1.0
2100000,0.62155443,103.61708860759494,3.9650257,7.017481646103635,7.017481646103635,1.5595398,0.09838307,0.0001769693,0.21797948,0.0029535883,1.0
2200000,0.56644726,87.3116769095698,5.194256,8.14398384372245,8.14398384372245,1.3789283,0.099017195,0.0001709855,0.21399032,0.002854058,1.0
2300000,0.50724846,96.60724779627816,4.621485,7.637984450509199,7.637984450509199,1.4803053,0.098834656,0.00016501843,0.21001226,0.0027548056,1.0
2400000,0.42096508,90.80238970588235,4.9368267,7.808902569245393,7.808902569245393,1.4798483,0.09611843,0.00015902879,0.2060192,0.0026551776,1.0
2500000,0.5177249,87.47848990342406,5.347887,7.724845577701861,7.724845577701861,1.9991815,0.096370324,0.00015302873,0.20201913,0.0025553766,1.0
2600000,0.44764018,85.65311418685121,5.5004706,8.205392031702587,8.205392031702587,1.7891101,0.09725933,0.00014701563,0.19801039,0.0024553586,1.0
2700000,0.49707872,85.47186147186147,6.057262,8.612374409774974,8.612374409774974,1.3221227,0.09794742,0.00014102552,0.19401696,0.002355723,1.0
2800000,0.55668586,93.75190114068441,4.945888,7.835379826499879,7.835379826499879,1.3698605,0.09666616,0.00013499711,0.189998,0.0022554507,1.0
2900000,0.5453078,93.74147727272727,5.0895114,7.658953725297776,7.658953725297776,1.7433738,0.0995371,0.00012898214,0.18598805,0.0021554015,1.0
3000000,0.5231413,97.6094674556213,4.7715425,7.551238735865883,7.551238735865883,1.5005772,0.095592216,0.00012298016,0.18198672,0.0020555686,1.0
3100000,0.45602572,90.35513169845595,4.876653,7.853913283165205,7.853913283165205,1.7705092,0.0983379,0.00011696951,0.17797963,0.0019555914,1.0
3200000,0.43250474,90.87361623616236,5.096334,7.915630005173007,7.915630005173007,1.8549503,0.09841117,0.000110973844,0.17398255,0.0018558634,1.0
3300000,0.48746273,90.98069852941177,5.1299367,7.964139648650741,7.964139648650741,1.6164716,0.09718029,0.00010500133,0.17000085,0.0017565205,1.0
3400000,0.5142863,76.78169014084507,6.0612025,8.462373700494265,8.462373700494265,1.9407442,0.096322,9.900769e-05,0.16600509,0.0016568261,1.0
