Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
14900000,0.28279698,170.93506493506493,5.0524116,9.400148544025111,9.400148544025111,0.8321207,0.047094986,7.6603355e-05,0.12553443,0.0012841676,1.0
15000000,0.30560473,186.4721189591078,4.612667,9.383810513607854,9.383810513607854,0.38747934,0.04791974,7.574577e-05,0.12524858,0.0012699032,1.0
15100000,0.3094971,182.49074074074073,4.6088066,8.999019148035181,8.999019148035181,0.6724745,0.047686517,7.426452e-05,0.12475482,0.0012452651,1.0
15200000,0.3041479,191.77798861480076,4.5760174,8.534768137840038,8.534768137840038,0.8440391,0.0485284,7.274186e-05,0.12424725,0.0012199379,1.0
15300000,0.3505063,186.40530303030303,4.287197,8.737416247569138,8.737416247569138,0.76391184,0.047841396,7.124907e-05,0.12374966,0.001195108,1.0
15400000,0.28661025,186.38847583643124,4.9480157,8.980695551700185,8.980695551700185,0.87639207,0.04617875,6.9742026e-05,0.12324732,0.0011700407,1.0
15500000,0.3396715,187.46603773584906,4.669339,8.681759200215565,8.681759200215565,0.92952996,0.045920983,6.825744e-05,0.12275245,0.0011453471,1.0
15600000,0.30846798,185.38345864661653,4.9996476,9.228263829022255,9.228263829022255,0.6634779,0.046213623,6.677074e-05,0.1222569,0.0011206185,1.0
15700000,0.33417282,194.47184466019417,4.7378225,8.527075817385345,8.527075817385345,0.9071364,0.045792285,6.525355e-05,0.12175117,0.0010953826,1.0
15800000,0.3474402,210.78343949044586,4.3304873,8.429033186231322,8.429033186231322,0.779704,0.0468485,6.374991e-05,0.121249944,0.0010703721,1.0
15900000,0.25781623,179.18018018018017,4.8612456,8.87146314739644,8.87146314739644,0.816538,0.04766716,6.224553e-05,0.12074849,0.0010453494,1.0
16000000,0.28172004,186.2626641651032,4.807222,9.005379345862101,9.005379345862101,0.79203385,0.04605633,6.075389e-05,0.12025128,0.0010205384,1.0
16100000,0.2947819,195.46245059288538,4.5944214,8.184908608320674,8.184908608320674,1.2115595,0.0481488,5.925392e-05,0.11975129,0.0009955886,1.0
16200000,0.33966953,204.47368421052633,4.2729454,8.458915073877042,8.458915073877042,0.8936739,0.047918078,5.77454e-05,0.11924846,0.0009704973,1.0
16300000,0.2984622,177.6732142857143,4.9216576,9.352646145896323,9.352646145896323,0.57601666,0.045997456,5.6255143e-05,0.11875169,0.000945709,1.0
16400000,0.31227365,194.734126984127,4.602964,8.950055097510655,8.950055097510655,0.583812,0.046373595,5.4757413e-05,0.11825245,0.00092079694,1.0
16500000,0.28654924,183.63468634686348,4.523703,8.748833068660186,8.748833068660186,0.83848697,0.04624148,5.32637e-05,0.117754534,0.00089595147,1.0
16600000,0.28779334,188.2157598499062,4.876718,9.248025310587481,9.248025310587481,0.5586028,0.045940384,5.1757263e-05,0.1172524,0.00087089447,1.0
16700000,0.3076565,196.05753968253967,4.515337,8.913276724827787,8.913276724827787,0.6023728,0.046223965,5.0259896e-05,0.11675327,0.0008459881,1.0
16800000,0.32961455,187.1098484848485,4.4029884,9.084892415328685,9.084892415328685,0.41513288,0.046286244,4.875345e-05,0.116251126,0.0008209309,1.0
16900000,0.29508868,194.03682170542635,4.544488,8.714721866545167,8.714721866545167,0.8300124,0.04814154,4.7238693e-05,0.11574621,0.00079573545,1.0
17000000,0.30915096,190.25143953934742,4.6761284,8.94118846257909,8.94118846257909,0.74856246,0.045732483,4.573001e-05,0.115243316,0.00077064097,1.0
17100000,0.35593262,191.79885057471265,4.5637918,9.174507082933221,9.174507082933221,0.34051993,0.047153868,4.4247616e-05,0.114749186,0.00074598397,1.0
17200000,0.3203767,190.17533718689788,4.741635,8.90591917073566,8.90591917073566,0.8356254,0.047111403,4.2775453e-05,0.114258446,0.0007214969,1.0
17300000,0.29626516,192.45977011494253,4.6656938,8.44737657189598,8.44737657189598,1.0025626,0.047338143,4.1247724e-05,0.11374922,0.0006960857,1.0
17400000,0.35016572,206.45341614906832,4.3289905,8.07007519476594,8.07007519476594,0.96432316,0.048489377,3.9747763e-05,0.113249235,0.00067113637,1.0
17500000,0.26785988,184.82429906542055,4.8645387,8.958910555133958,8.958910555133958,0.82773876,0.048663966,3.826054e-05,0.11275349,0.00064639887,1.0
17600000,0.28671464,181.43454545454546,4.907667,8.89651728125058,8.89651728125058,0.79354167,0.04704496,3.676546e-05,0.11225512,0.0006215307,1.0
17700000,0.28487864,184.36654135338347,4.8199267,8.588956203325635,8.588956203325635,1.0464313,0.046425,3.5262055e-05,0.111753985,0.00059652404,1.0
17800000,0.25902104,171.25762711864408,5.0671625,9.141916340728432,9.141916340728432,0.8782224,0.045325078,3.374449e-05,0.11124814,0.0005712818,1.0
17900000,0.20860597,170.99827288428324,5.1776667,9.356654966896679,9.356654966896679,0.7244362,0.046433043,3.2267668e-05,0.11075586,0.0005467174,1.0
18000000,0.2513615,176.32624113475177,4.83699,9.06807218064582,9.06807218064582,0.7575825,0.04630027,3.074491e-05,0.110248275,0.0005213889,1.0
18100000,0.28698036,188.73634651600753,4.854093,8.877926425955726,8.877926425955726,0.59462124,0.046680953,2.923131e-05,0.109743744,0.0004962125,1.0
18200000,0.2902668,182.16390423572744,4.909669,8.615126691772328,8.615126691772328,0.97208714,0.04637539,2.773845e-05,0.109246135,0.0004713813,1.0
18300000,0.31545627,181.68371212121212,4.617237,9.348106481233481,9.348106481233481,0.3738235,0.048274938,2.625979e-05,0.10875323,0.00044678623,1.0
18400000,0.2968804,189.37384898710866,4.850178,8.845381025900995,8.845381025900995,0.7744844,0.04498659,2.4733155e-05,0.10824435,0.0004213932,1.0
18500000,0.29374394,190.65125240847783,4.4662576,8.388477184664952,8.388477184664952,0.9194717,0.04715407,2.3252313e-05,0.10775074,0.00039676187,1.0
18600000,0.2594762,176.31922398589066,4.8984585,8.477018662951362,8.477018662951362,1.2203282,0.047472592,2.1773296e-05,0.10725773,0.0003721609,1.0
18700000,0.30022126,188.0874524714829,4.7352996,8.489452035077795,8.489452035077795,1.0538293,0.0467348,2.026762e-05,0.106755845,0.00034711647,1.0
18800000,0.35694414,195.76470588235293,4.3038135,8.622865641117096,8.622865641117096,0.721592,0.04767022,1.875036e-05,0.10625009,0.00032187937,1.0
18900000,0.2811941,165.44666666666666,4.9767256,9.482819122895599,9.482819122895599,0.4876999,0.046492763,1.725506e-05,0.105751656,0.00029700756,1.0
19000000,0.32201043,185.72149532710282,4.842092,9.149404572315989,9.149404572315989,0.5930354,0.04741142,1.5748888e-05,0.105249606,0.00027195484,1.0
19100000,0.2870443,172.14507772020724,4.797846,9.175086816528747,9.175086816528747,0.6424546,0.047946792,1.4263496e-05,0.10475447,0.00024724784,1.0
19200000,0.3086185,191.1946050096339,4.5872564,8.329853075547485,8.329853075547485,0.8073744,0.0472935,1.276074e-05,0.10425354,0.000222252,1.0
19300000,0.26747507,195.588693957115,4.6839724,8.639628627539029,8.639628627539029,0.8553583,0.04554236,1.1244921e-05,0.10374827,0.00019703888,1.0
19400000,0.26695418,176.70304114490162,4.7114477,9.317089207857634,9.317089207857634,0.58764714,0.04790193,9.740038e-06,0.10324664,0.00017200768,1.0
19500000,0.32194805,192.2552783109405,4.4919453,8.651147868769721,8.651147868769721,0.7346109,0.049744748,8.254692e-06,0.10275153,0.00014730141,1.0
19600000,0.2976668,186.67045454545453,4.300373,8.842163847997075,8.842163847997075,0.6965183,0.04545297,6.737642e-06,0.10224585,0.00012206781,1.0
19700000,0.3167447,183.7097966728281,4.388065,8.896809966906028,8.896809966906028,0.47359172,0.046594437,5.2447726e-06,0.10174823,9.723641e-05,1.0
19800000,0.31627527,204.15510204081633,4.2292824,8.416926079091368,8.416926079091368,0.892131,0.0479626,3.7663738e-06,0.10125543,7.264571e-05,1.0
19900000,0.2682261,179.0107334525939,4.7003245,9.312665735828727,9.312665735828727,0.6316594,0.048801333,2.2419135e-06,0.10074728,4.7288842e-05,1.0
20000000,0.28003812,189.59844054580896,4.27453,9.278711585567155,9.278711585567155,0.48799816,0.047990482,7.712266e-07,0.100257054,2.2826407e-05,1.0
