Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
100000,0.9599937,324.92255892255895,-8.057538,-10.691543361103093,-10.691543361103093,4.0141945,0.09677773,0.0002969289,0.29795262,0.0049489164,1.0
200000,0.769869,327.03921568627453,-2.1325264,-9.159730138658892,-9.159730138658892,1.705209,0.09821413,0.00029098935,0.2939929,0.004850122,1.0
300000,0.9503877,302.9085365853659,-2.3059883,-8.171166924359792,-8.171166924359792,1.9643116,0.096870445,0.00028498183,0.28998792,0.004750197,1.0
400000,0.88720846,318.11783439490443,-2.3257096,-8.966216500306242,-8.966216500306242,1.7495983,0.097370885,0.00027897797,0.2859853,0.004650333,1.0
500000,1.2473037,333.64527027027026,-2.7794402,-10.665796882963765,-10.665796882963765,1.4653229,0.09782258,0.00027299818,0.2819988,0.0045508696,1.0
600000,0.90937424,320.3269230769231,-2.3953667,-8.682627934007309,-8.682627934007309,1.6143407,0.09831392,0.00026700733,0.27800485,0.004451221,1.0
700000,0.75685245,340.2935153583618,-1.9690382,-6.638607300182251,-6.638607300182251,1.1885008,0.099108085,0.00026099384,0.2739959,0.0043511977,1.0
800000,0.73506,340.7679180887372,-2.2695794,-8.761042403839147,-8.761042403839147,1.2723463,0.09607565,0.00025497304,0.26998204,0.004251051,1.0
900000,0.52182335,327.3114754098361,-2.070601,-7.727853863661895,-7.727853863661895,1.4337934,0.09668557,0.0002489821,0.26598805,0.0041514016,1.0
1000000,0.6657841,323.65909090909093,-2.0971146,-7.903416991838581,-7.903416991838581,1.5859463,0.096745804,0.00024297755,0.261985,0.0040515256,1.0
1100000,0.61247283,328.5718954248366,-2.2172065,-7.6191239301602245,-7.6191239301602245,1.1746848,0.10029381,0.00023700239,0.25800157,0.0039521395,1.0
1200000,0.42684323,345.7902097902098,-1.898967,-6.966076722381623,-6.966076722381623,1.0344164,0.09946901,0.00023102679,0.25401783,0.0038527446,1.0
1300000,0.5485916,318.6314102564103,-1.9560875,-5.824842670418991,-5.824842670418991,1.21715,0.09739929,0.0002250174,0.2500116,0.0037527888,1.0
1400000,0.7212393,291.791788856305,-2.1453981,-4.881251878315402,-4.881251878315402,1.5157422,0.09839468,0.00021898668,0.2459911,0.0036524774,1.0
1500000,0.858727,231.61009174311926,-2.059551,-1.255510019300796,-1.255510019300796,1.8691567,0.09845138,0.00021299347,0.2419956,0.0035527903,1.0
1600000,0.83151406,192.98062015503876,-1.2794437,0.11836073804617853,0.11836073804617853,1.9027607,0.09789678,0.00020698764,0.23799172,0.0034528933,1.0
1700000,0.71254057,186.76127819548873,-0.97412246,-0.15384251234277718,-0.15384251234277718,2.0361204,0.09951834,0.00020099798,0.23399863,0.0033532656,1.0
1800000,0.6115443,157.44303797468353,0.019107683,1.6965681722896735,1.6965681722896735,1.7753541,0.09894481,0.00019501685,0.23001122,0.0032537796,1.0
1900000,0.68948466,167.02037351443124,-0.08182409,1.313804631051766,1.313804631051766,1.6077117,0.09682025,0.00018901915,0.22601272,0.0031540177,1.0
2000000,0.6794982,169.87986463620982,-0.5721859,0.7936720341103634,0.7936720341103634,1.6472375,0.09896792,0.00018299073,0.2219938,0.0030537453,1.0
2100000,0.62202996,152.9906103286385,0.06652527,1.7931265621075578,1.7931265621075578,2.1912968,0.09757302,0.0001770008,0.21800049,0.0029541117,1.0
2200000,0.6312387,156.43478260869566,-0.23390308,1.510435751170753,1.510435751170753,2.1973574,0.097720645,0.00017098941,0.21399294,0.002854123,1.0
2300000,0.5658343,164.42739273927393,-0.32585156,0.3381913402033402,0.3381913402033402,2.182683,0.09707557,0.00016498221,0.2099881,0.0027542033,1.0
2400000,0.6179418,138.06872370266478,0.20482005,2.7699041312448105,2.7699041312448105,1.9453813,0.09758105,0.00015901536,0.2060102,0.002654954,1.0
2500000,0.50325304,162.35562805872758,-0.19128326,1.4965467204204586,1.4965467204204586,1.5303108,0.09801584,0.00015303445,0.20202294,0.0025554718,1.0
2600000,0.55752665,157.25990491283676,-0.24962272,1.6357640911088505,1.6357640911088505,1.8335705,0.09827879,0.00014700973,0.19800648,0.002455261,1.0
