Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
1400000,1.1346239,260.0739549839228,0.5914339,4.334607695304217,4.334607695304217,0.23932773,0.04631234,0.00025923064,0.18641017,0.0043218685,1.0
1500000,1.0088617,280.4438202247191,0.9522129,3.3951558827140023,3.3951558827140023,0.22615927,0.048711494,0.00025649965,0.18549988,0.004276444,1.0
1600000,1.0092742,272.43131868131866,1.0444156,3.687956026908788,3.687956026908788,0.37030575,0.05033475,0.00025349655,0.18449883,0.0042264923,1.0
1700000,0.9459267,262.64473684210526,1.1093682,3.939231553761975,3.939231553761975,0.26668036,0.046516016,0.00025049536,0.18349844,0.004176572,1.0
1800000,1.0151176,261.1942257217848,1.0777382,4.204240142810219,4.204240142810219,0.13441461,0.04698548,0.00024747095,0.1824903,0.004126266,1.0
1900000,0.9870388,240.3831325301205,1.4179204,4.808724094101463,4.808724094101463,0.2776166,0.049017124,0.0002444818,0.18149391,0.004076546,1.0
2000000,0.9647511,257.8103896103896,1.3868123,4.038432474976236,4.038432474976236,1.5933616,0.049284115,0.00024149957,0.18049984,0.0040269415,1.0
2100000,1.0479445,257.03299492385787,1.1758001,4.128960646868584,4.128960646868584,0.28608897,0.044860285,0.00023851423,0.17950474,0.0039772857,1.0
2200000,0.9539541,271.92541436464086,1.0468463,3.6749170955517507,3.6749170955517507,0.21440798,0.048597347,0.00023550773,0.17850257,0.003927278,1.0
2300000,1.1408759,294.31470588235294,1.0698346,3.521392636428423,3.521392636428423,0.20662412,0.04789492,0.00023252267,0.17750753,0.0038776258,1.0
2400000,1.1639744,247.59600997506234,1.440697,4.7052506029308585,4.7052506029308585,0.12946787,0.047840416,0.00022950154,0.17650048,0.003827374,1.0
2500000,1.154667,246.535,1.2964215,4.72589623474516,4.72589623474516,0.087971576,0.04752559,0.00022647365,0.1754912,0.0037770101,1.0
2600000,1.0451459,251.06569343065692,1.424029,4.623914395683161,4.623914395683161,0.17155601,0.04824874,0.00022347589,0.17449194,0.0037271488,1.0
2700000,0.98432136,248.54025974025973,1.114253,4.097755717725017,4.097755717725017,0.28033015,0.04771525,0.00022048624,0.17349541,0.0036774206,1.0
2800000,0.94240993,255.58145363408522,1.2111793,4.158184203307581,4.158184203307581,0.32755816,0.047114883,0.00021749233,0.17249745,0.0036276213,1.0
2900000,0.97778046,276.72651933701655,1.1702696,3.492317649283709,3.492317649283709,0.2788297,0.04894859,0.00021452257,0.1715075,0.0035782242,1.0
3000000,0.7687423,260.9661458333333,1.2827004,4.353062621393185,4.353062621393185,0.27881253,0.048073307,0.00021149336,0.17049778,0.0035278387,1.0
3100000,0.75004613,246.17543859649123,1.2021506,4.64876248696819,4.64876248696819,0.23341227,0.047388066,0.00020849476,0.16949825,0.0034779625,1.0
3200000,0.76605034,244.33495145631068,1.4317842,4.562425923307688,4.562425923307688,0.31318972,0.046197776,0.00020548771,0.16849588,0.0034279444,1.0
3300000,0.8241983,273.939226519337,1.3312035,4.217607690381576,4.217607690381576,0.16408329,0.046413545,0.0002024989,0.16749962,0.0033782304,1.0
3400000,0.74569875,265.1393442622951,1.044711,4.164219917546286,4.164219917546286,0.2173215,0.04889112,0.00019948612,0.16649537,0.0033281185,1.0
3500000,0.61192113,244.9132530120482,1.3527147,4.825679494530322,4.825679494530322,0.24054265,0.047700103,0.00019647335,0.16549112,0.0032780059,1.0
3600000,0.6240346,241.79064039408868,1.2995399,4.707901442359233,4.707901442359233,0.34205654,0.046667967,0.00019351464,0.16450486,0.0032287927,1.0
3700000,0.735785,238.73023255813953,1.4558649,5.032137010072028,5.032137010072028,0.23735918,0.047168385,0.00019051028,0.16350342,0.0031788202,1.0
3800000,0.57723945,224.68591224018476,2.0565827,5.013938066207829,5.013938066207829,1.0229958,0.048225105,0.00018749548,0.16249849,0.0031286736,1.0
3900000,0.6682267,225.41552511415526,1.645093,5.18786530354864,5.18786530354864,0.71500266,0.04698049,0.00018451043,0.16150346,0.003079022,1.0
4000000,0.6778453,235.69471153846155,1.4512658,4.621585333272098,4.621585333272098,0.54261494,0.04542079,0.00018149086,0.16049692,0.0030287968,1.0
4100000,0.73762614,229.7685393258427,1.8119885,5.561041551518641,5.561041551518641,0.3289202,0.04612862,0.0001784857,0.15949522,0.0029788108,1.0
